Soil_Type,Sunlight_Hours,Water_Frequency,Fertilizer_Type,Temperature,Humidity,Predicted_Growth_Milestone
0,5.10240351913008,2,2,26.706250700165846,35.25046395330944,1
1,5.1116924461729845,2,0,34.12875584231855,48.767648812502586,0
0,5.82231136454037,2,1,27.104004024546096,63.39478384330886,0
0,7.119104594695235,0,2,20.612372343221672,63.25152279788391,1
1,6.573302019490704,2,2,21.009953915628373,59.58890734755107,1
1,5.745784299928376,0,2,18.44090167107972,44.05118101429246,1
0,7.631298863851175,2,2,15.506631544243092,58.11382251012276,0
2,4.8534640167063055,1,2,23.50294657926589,49.361946758903215,1
0,5.751168193912461,1,2,22.94366718104357,78.2598536752433,0
0,6.187622447959239,0,1,20.95533328854857,72.2328460601889,1
0,6.7151753938235945,1,1,15.476106771411963,65.9905695501356,0
0,8.650571958435426,1,2,19.099319993136984,42.14995367719364,0
1,5.207368295022278,2,1,29.14948884781703,43.13565829489538,1
0,7.057227172404271,0,0,30.695423611480173,32.5521853573764,1
2,7.516986539855354,2,2,27.0829374223876,65.44741310674699,1
1,4.306296897371281,2,0,33.3648554884416,36.0102655529438,0
2,7.605964254776628,2,0,27.967687426863204,52.13056270973928,1
2,5.035945857336356,2,2,33.1424533318789,40.468173161082525,1
2,4.415686160647717,2,1,31.869343928436756,74.53225896278018,0
2,9.613310324456357,2,0,24.013773941363553,53.89911784318063,1
